id,tenant_id,user_id,title,status,registered_at,deleted_at
01JN5MR9349T7X11RPJKTYTHQG,61b79418-aa3e-4032-8b1f-bee8166ff6f9,5986132d-efd5-4cf1-821d-7527de107313,2025/02/28 ??????,approved,2025/2/28 6:43,
01JN5MV53JN9SR09DX3HTGPXBH,61b79418-aa3e-4032-8b1f-bee8166ff6f9,5986132d-efd5-4cf1-821d-7527de107313,2025/02/28 ??????,approved,2025/2/28 6:45,
01JNCTHVRVQ80PW97KWG9ES9P8,61b79418-aa3e-4032-8b1f-bee8166ff6f9,352db80c-ea5f-4f3a-970b-6f72284b655d,2025/03/03 ??????,approved,2025/3/3 1:39,
01JNCVFQ7497W70MCEDA3R0358,61b79418-aa3e-4032-8b1f-bee8166ff6f9,352db80c-ea5f-4f3a-970b-6f72284b655d,2025/03/03 ??????,approved,2025/3/3 1:56,
01JNCW0AQRWT4X0WXKEY5NYY68,61b79418-aa3e-4032-8b1f-bee8166ff6f9,352db80c-ea5f-4f3a-970b-6f72284b655d,2025/03/03 ??????,approved,2025/3/3 2:05,
01JNCW4QGP844SKE5RAHJ4SBTQ,61b79418-aa3e-4032-8b1f-bee8166ff6f9,352db80c-ea5f-4f3a-970b-6f72284b655d,2025/03/03 ??????,approved,2025/3/3 2:07,
01JNCWX5SKWXS0GJWN71T4J3VS,61b79418-aa3e-4032-8b1f-bee8166ff6f9,352db80c-ea5f-4f3a-970b-6f72284b655d,2025/03/03 ??????,approved,2025/3/3 2:21,
01JNCX0EH6PSNEYEVJ584R0GRQ,61b79418-aa3e-4032-8b1f-bee8166ff6f9,352db80c-ea5f-4f3a-970b-6f72284b655d,2025/03/03 ??????,approved,2025/3/3 2:22,
01JNCX53F9KDP8CH9SVNSY5V23,61b79418-aa3e-4032-8b1f-bee8166ff6f9,352db80c-ea5f-4f3a-970b-6f72284b655d,2025/03/03 ??????,approved,2025/3/3 2:25,
01JNCXRRS9K4XN0Y12ND1GES26,61b79418-aa3e-4032-8b1f-bee8166ff6f9,352db80c-ea5f-4f3a-970b-6f72284b655d,2025/03/03 ??????,approved,2025/3/3 2:36,
01JNCY1SNZ46FSC59766K9K1KN,61b79418-aa3e-4032-8b1f-bee8166ff6f9,352db80c-ea5f-4f3a-970b-6f72284b655d,2025/03/03 ??????,approved,2025/3/3 2:41,
01JNCY55D9E9FY0X6CGQBKQSME,61b79418-aa3e-4032-8b1f-bee8166ff6f9,352db80c-ea5f-4f3a-970b-6f72284b655d,2025/03/03 ??????,approved,2025/3/3 2:42,
01JNCY7HP8CB2XGE54H49Y2CTH,61b79418-aa3e-4032-8b1f-bee8166ff6f9,352db80c-ea5f-4f3a-970b-6f72284b655d,2025/03/03 ??????,approved,2025/3/3 2:44,
01JNCYC78TP9ZYA53HZ3E69JNZ,61b79418-aa3e-4032-8b1f-bee8166ff6f9,352db80c-ea5f-4f3a-970b-6f72284b655d,2025/03/03 ??????,approved,2025/3/3 2:46,
01JNCYF26S5G09PPQNNAR9ZJT1,61b79418-aa3e-4032-8b1f-bee8166ff6f9,352db80c-ea5f-4f3a-970b-6f72284b655d,2025/03/03 ??????,approved,2025/3/3 2:48,
01JNCYJ7WRNNV72Y1MEP2N52H8,61b79418-aa3e-4032-8b1f-bee8166ff6f9,352db80c-ea5f-4f3a-970b-6f72284b655d,2025/03/03 ??????,approved,2025/3/3 2:50,
01JNCYSETQYME20DYX95D5JDNA,61b79418-aa3e-4032-8b1f-bee8166ff6f9,352db80c-ea5f-4f3a-970b-6f72284b655d,2025/03/03 ??????,approved,2025/3/3 2:54,
01JNCYY8SHSGQHHA4MBQZWPPJC,61b79418-aa3e-4032-8b1f-bee8166ff6f9,352db80c-ea5f-4f3a-970b-6f72284b655d,2025/03/03 ??????,approved,2025/3/3 2:56,
01JNCZ2135V00AVZNSENNND5SA,61b79418-aa3e-4032-8b1f-bee8166ff6f9,352db80c-ea5f-4f3a-970b-6f72284b655d,2025/03/03 ??????,approved,2025/3/3 2:58,
01JNCZBFAAJDTMHCTH2SYT9821,61b79418-aa3e-4032-8b1f-bee8166ff6f9,352db80c-ea5f-4f3a-970b-6f72284b655d,2025/03/03 ??????,approved,2025/3/3 3:03,
01JND06K6DX71FX9XRPR2MDK10,61b79418-aa3e-4032-8b1f-bee8166ff6f9,352db80c-ea5f-4f3a-970b-6f72284b655d,2025/03/03 ??????,approved,2025/3/3 3:18,
