StudentID,ClassID,Timestamp,Attention_score,Average_Attention_score
4,1,2024-12-13T09:00,67.5,66.2
4,1,2024-12-13T09:05,79,66.5
4,1,2024-12-13T09:10,74.6,74.6
4,1,2024-12-13T09:15,72,72.8
4,1,2024-12-13T09:20,63.1,87.7
4,1,2024-12-13T09:25,63.1,69.4
4,1,2024-12-13T09:30,61.2,62.4
4,1,2024-12-13T09:35,77.3,74.3
4,1,2024-12-13T09:40,62,75.2
4,1,2024-12-13T09:45,74.2,71.2
4,1,2024-12-13T09:50,60.4,75.4
4,1,2024-12-13T09:55,89.4,69.9
4,1,2024-12-13T10:00,76.6,70.5
4,1,2024-12-13T10:05,64.2,68.6
4,1,2024-12-13T10:10,63.6,60.5
4,1,2024-12-13T10:15,63.7,62.2
4,1,2024-12-13T10:20,76.1,60.6
4,1,2024-12-13T10:25,70.5,72.7
4,1,2024-12-13T10:30,68.6,66.3
5,1,2024-12-13T09:00,60.7,66.2
5,1,2024-12-13T09:05,78.2,66.5
5,1,2024-12-13T09:10,65.2,74.6
5,1,2024-12-13T09:15,73.3,72.8
5,1,2024-12-13T09:20,66.2,87.7
5,1,2024-12-13T09:25,80.4,69.4
5,1,2024-12-13T09:30,70.9,62.4
5,1,2024-12-13T09:35,63.7,74.3
5,1,2024-12-13T09:40,79.4,75.2
5,1,2024-12-13T09:45,65.5,71.2
5,1,2024-12-13T09:50,78.8,75.4
5,1,2024-12-13T09:55,77.9,69.9
5,1,2024-12-13T10:00,72,70.5
5,1,2024-12-13T10:05,78.4,68.6
5,1,2024-12-13T10:10,71.8,60.5
5,1,2024-12-13T10:15,63.9,62.2
5,1,2024-12-13T10:20,60.9,60.6
5,1,2024-12-13T10:25,66.5,72.7
5,1,2024-12-13T10:30,67.8,66.3
6,1,2024-12-13T09:00,70.54,66.2
6,1,2024-12-13T09:05,61.27,66.5
6,1,2024-12-13T09:10,64.87,74.6
6,1,2024-12-13T09:15,68.14,72.8
6,1,2024-12-13T09:20,83.1,87.7
6,1,2024-12-13T09:25,86.61,69.4
6,1,2024-12-13T09:30,66.32,62.4
6,1,2024-12-13T09:35,72.46,74.3
6,1,2024-12-13T09:40,74.72,75.2
6,1,2024-12-13T09:45,87.9,71.2
6,1,2024-12-13T09:50,76.2,75.4
6,1,2024-12-13T09:55,51.13,69.9
6,1,2024-12-13T10:00,74.62,70.5
6,1,2024-12-13T10:05,55.25,68.6
6,1,2024-12-13T10:10,75.06,60.5
6,1,2024-12-13T10:15,80.54,62.2
6,1,2024-12-13T10:20,51.11,60.6
6,1,2024-12-13T10:25,65.46,72.7
6,1,2024-12-13T10:30,51.23,66.3
