StudentID,ClassID,Timestamp,Attention_score,Average_Attention_score
1,1,2024-12-13T09:00,75,72.32
1,1,2024-12-13T09:01,75,73.3
1,1,2024-12-13T09:02,74,73.15
1,1,2024-12-13T09:03,74,74.11
1,1,2024-12-13T09:04,73,73.52
1,1,2024-12-13T09:05,73,74.2
1,1,2024-12-13T09:06,72,71.75
1,1,2024-12-13T09:07,72,70.52
1,1,2024-12-13T09:08,71,70.63
1,1,2024-12-13T09:09,71,71.6
1,1,2024-12-13T09:10,70,74.11
1,1,2024-12-13T09:11,70,71.01
1,1,2024-12-13T09:12,68,72.78
1,1,2024-12-13T09:13,68,70.43
1,1,2024-12-13T09:14,66,73.88
1,1,2024-12-13T09:15,66,71.93
1,1,2024-12-13T09:16,64,72.21
1,1,2024-12-13T09:17,64,73.36
1,1,2024-12-13T09:18,62,74.06
1,1,2024-12-13T09:19,60,73.16
1,1,2024-12-13T09:20,58,72.47
2,1,2024-12-13T09:00,60,72.32
2,1,2024-12-13T09:01,60,73.3
2,1,2024-12-13T09:02,62,73.15
2,1,2024-12-13T09:03,62,74.11
2,1,2024-12-13T09:04,64,73.52
2,1,2024-12-13T09:05,64,74.2
2,1,2024-12-13T09:06,68,71.75
2,1,2024-12-13T09:07,68,70.52
2,1,2024-12-13T09:08,70,70.63
2,1,2024-12-13T09:09,70,71.6
2,1,2024-12-13T09:10,72,74.11
2,1,2024-12-13T09:11,72,71.01
2,1,2024-12-13T09:12,73,72.78
2,1,2024-12-13T09:13,73,70.43
2,1,2024-12-13T09:14,74,73.88
2,1,2024-12-13T09:15,74,71.93
2,1,2024-12-13T09:16,75,72.21
2,1,2024-12-13T09:17,75,73.36
2,1,2024-12-13T09:18,75,74.06
2,1,2024-12-13T09:19,76,73.16
2,1,2024-12-13T09:20,76,72.47
3,1,2024-12-13T09:00,80,72.32
3,1,2024-12-13T09:01,79,73.3
3,1,2024-12-13T09:02,78,73.15
3,1,2024-12-13T09:03,77,74.11
3,1,2024-12-13T09:04,76,73.52
3,1,2024-12-13T09:05,75,74.2
3,1,2024-12-13T09:06,74,71.75
3,1,2024-12-13T09:07,73,70.52
3,1,2024-12-13T09:08,72,70.63
3,1,2024-12-13T09:09,71,71.6
3,1,2024-12-13T09:10,71.5,74.11
3,1,2024-12-13T09:11,71,71.01
3,1,2024-12-13T09:12,70.5,72.78
3,1,2024-12-13T09:13,70,70.43
3,1,2024-12-13T09:14,69.5,73.88
3,1,2024-12-13T09:15,69,71.93
3,1,2024-12-13T09:16,68,72.21
3,1,2024-12-13T09:17,67,73.36
3,1,2024-12-13T09:18,66,74.06
3,1,2024-12-13T09:19,66.5,73.16
3,1,2024-12-13T09:20,66,72.47
